ordine_data,revenue,google_search_spent,google_performance_max_spent,fb_retargeting_spent,fb_prospecting_spent,google_organico,Sconti
2021-08-11,3641.3,137.02,47.67,8.32,40.11,0,0
2021-08-12,2261.37,154.87,49.44,6.02,53.59,0,3
2021-08-13,1919.64,163.61,48.84,6.93,58.52,0,0
2021-08-14,1283.62,147.73,35.91,0.0,0.0,0,0
2021-08-15,1817.46,178.57,49.82,0.0,0.0,0,1
2021-08-16,4153.7,170.99,74.57,0.0,0.0,0,1
2021-08-17,3173.38,177.21,58.76,0.0,0.0,0,0
2021-08-18,2868.55,42.71,55.2,0.0,0.0,0,0
2021-08-19,3225.54,42.57,52.65,0.0,0.0,0,2
2021-08-20,1660.32,48.88,27.8,0.0,0.0,0,0
2021-08-21,1052.06,90.15,48.62,0.0,0.0,0,0
2021-08-22,1955.72,210.14,53.13,0.0,0.0,0,0
2021-08-23,5133.89,274.1,62.15,0.0,0.0,0,2
2021-08-24,4609.91,246.75,54.02,0.0,0.0,0,1
2021-08-25,3997.51,201.08,47.5,0.4,1.67,0,1
2021-08-26,3730.38,188.3,55.71,0.0,0.0,0,0
2021-08-27,2266.13,136.72,50.93,0.0,0.0,0,1
2021-08-28,1728.95,102.06,24.43,0.0,0.0,0,0
2021-08-29,2668.24,96.99,55.79,0.0,0.0,0,0
2021-08-30,4974.19,172.51,55.46,4.13,34.35,0,0
2021-08-31,4830.26,139.51,29.45,1.73,34.65,0,1
2021-09-01,4754.74,142.89,58.67,10.03,34.72,0,1
2021-09-02,4657.85,144.36,50.55,9.21,42.0,0,1
2021-09-03,2886.1,147.31,43.47,5.36,33.0,0,4
2021-09-04,1695.6,123.95,23.6,8.17,32.73,0,0
2021-09-05,2869.94,158.1,70.03,4.6,32.16,0,0
2021-09-06,6673.98,218.61,70.62,8.83,30.3,0,0
